frame,7,6,8,9
2,3,1,5,4,
106,3,1,2,4,
184,3,3,2,4,
241,3,3,2,1,
256,3,3,4,1,
283,2,3,4,1,
376,2,3,4,3,
427,2,3,1,3,
460,4,3,1,3,
493,4,2,1,3,
523,4,2,1,5,
577,4,2,3,5,
637,1,2,3,5,
658,1,4,3,5,
703,1,4,3,2,
745,1,4,1,2,
763,1,4,5,2,
775,3,4,5,2,
841,3,1,5,2,
859,3,1,2,2,
901,3,1,2,4,
952,5,1,2,4,
1012,5,3,2,4,
1078,5,3,2,1,
1111,5,3,4,1,
1165,2,3,4,1,
1189,2,5,4,1,
1243,2,5,4,3,
1294,2,5,2,3,
1300,2,5,1,3,
1324,4,5,1,3,
1354,4,2,1,3,
1420,4,2,1,5,
1438,4,2,3,5,
1498,1,2,3,5,
1564,1,4,3,5,
1609,1,4,3,2,
1687,1,4,5,2,
1795,1,4,3,2,
