frame,7,6,8,9
2,3,1,5,4,
118,3,1,2,4,
196,3,3,2,4,
262,3,3,2,1,
268,3,3,4,1,
310,2,3,4,1,
346,2,1,4,1,
382,2,1,4,3,
442,2,1,1,3,
484,4,1,1,3,
526,4,2,1,3,
544,4,2,2,3,
556,4,2,2,5,
580,4,2,4,5,
592,4,2,3,5,
646,1,2,3,5,
688,1,2,3,2,
694,1,4,3,2,
748,1,4,1,2,
760,2,4,1,2,
772,2,4,5,2,
790,3,4,5,2,
856,3,1,2,2,
910,3,1,2,4,
988,5,1,2,4,
1018,5,3,2,4,
1096,5,3,3,1,
1126,5,3,4,1,
1162,2,3,4,1,
1216,2,5,4,1,
1252,2,5,4,3,
1258,2,5,5,3,
1294,2,5,2,3,
1318,2,5,1,3,
1342,4,5,1,3,
1360,4,2,1,3,
1420,4,2,2,3,
1444,4,2,4,3,
1450,4,2,3,3,
1486,1,2,3,3,
1582,1,4,3,5,
1624,1,4,3,2,
1654,1,4,5,2,
1798,1,4,3,2,
