frame,7,6,8,9
2,3,1,5,4,
94,3,1,2,4,
128,5,1,2,4,
177,5,3,2,4,
228,5,3,2,1,
243,5,3,3,1,
250,5,3,4,1,
271,2,3,4,1,
319,2,5,4,1,
365,2,5,4,3,
406,2,5,5,3,
422,2,5,1,3,
451,4,5,1,3,
479,4,2,1,3,
522,4,2,1,5,
572,4,2,3,5,
603,2,2,3,5,
611,1,2,3,5,
656,1,4,3,5,
688,1,4,3,2,
757,1,4,5,2,
776,3,4,5,2,
810,3,5,5,2,
828,3,1,5,2,
879,3,1,5,4,
915,3,1,2,4,
952,5,1,2,4,
1007,5,3,2,4,
1064,5,3,2,1,
1095,5,3,3,1,
1101,5,3,4,1,
1161,2,3,4,1,
1189,2,5,4,1,
1195,2,1,4,1,
1213,2,5,4,1,
1238,2,5,4,3,
1259,2,5,5,3,
1286,2,5,1,3,
1307,3,5,1,3,
1314,4,5,1,3,
1340,4,2,1,3,
1416,4,2,1,5,
1435,4,2,3,5,
1483,1,2,3,5,
1553,1,4,3,5,
1600,1,4,3,2,
1658,1,4,5,2,
1794,1,4,3,2,
