frame,8,9,7,10,6
2,2,0,4,0,0,
15,2,5,4,0,1,
45,2,5,4,0,1,
68,2,5,4,0,5,
88,2,3,4,0,5,
93,3,3,4,5,3,
98,5,3,4,5,3,
105,4,3,4,5,5,
116,2,3,4,5,5,
128,2,3,3,5,5,
135,2,4,3,5,5,
149,2,4,3,5,5,
154,2,4,3,5,5,
170,2,4,3,5,1,
175,2,4,3,5,1,
180,2,4,3,5,5,
187,2,4,3,5,1,
192,1,4,3,5,5,
200,1,4,3,5,1,
211,1,4,3,5,1,
224,5,4,3,5,5,
231,5,4,3,5,1,
239,5,4,3,5,5,
245,1,4,3,5,2,
253,5,4,3,1,5,
258,2,4,3,1,5,
265,5,4,3,1,1,
290,1,4,3,1,1,
303,5,4,3,1,5,
327,1,4,3,1,5,
413,1,4,3,3,1,
546,1,4,3,3,4,
607,1,4,3,4,1,
618,1,4,3,4,4,
687,1,3,3,4,1,
694,1,3,3,4,3,
718,1,1,3,4,3,
725,3,1,3,4,3,
734,1,1,3,4,3,
742,1,1,3,3,1,
757,3,1,3,3,3,
765,1,1,3,3,3,
784,3,1,3,3,3,
814,4,1,3,3,3,
832,1,3,3,3,3,
839,4,3,3,3,3,
857,4,1,3,3,1,
894,1,1,3,3,1,
899,4,1,3,3,1,
924,4,1,1,3,5,
930,4,2,1,3,5,
936,5,2,1,3,5,
943,5,2,1,3,5,
984,5,2,1,4,4,
1004,1,2,1,4,4,
1010,4,2,1,4,4,
1017,1,2,1,4,4,
1033,4,2,1,4,4,
1038,3,2,1,4,4,
1045,4,2,1,4,4,
1051,1,2,1,5,1,
1060,5,2,1,5,4,
1065,4,2,1,5,4,
1074,3,1,1,5,4,
1090,1,1,1,5,4,
1095,2,1,1,5,2,
1100,1,1,1,5,2,
1115,1,4,1,2,2,
1120,1,4,1,2,2,
1128,2,5,1,2,2,
1134,2,4,1,2,2,
1153,2,1,1,2,2,
1158,2,4,1,2,3,
1163,2,1,5,2,2,
1172,2,4,5,2,2,
1178,2,1,5,2,2,
1184,1,4,5,2,5,
1189,2,4,5,2,5,
1194,3,4,5,2,5,
1201,1,4,5,2,1,
1207,2,1,5,2,1,
1213,2,1,5,2,5,
1221,2,1,5,2,5,
1227,4,1,5,2,1,
1232,1,3,5,2,1,
1238,5,1,5,2,4,
1255,2,1,5,2,4,
1277,3,1,5,2,2,
1311,3,1,5,2,4,
1320,2,1,5,2,4,
1326,3,1,5,2,4,
1331,2,1,5,2,2,
1345,2,1,5,2,3,
1350,3,1,5,2,3,
1355,2,4,5,2,3,
1362,2,4,5,1,3,
1369,1,4,5,1,3,
1377,5,4,5,1,3,
1387,2,5,5,1,3,
1393,3,5,5,1,3,
1398,2,5,5,1,3,
1406,2,5,4,4,3,
1411,1,5,4,4,3,
1420,3,5,4,4,3,
1430,1,5,4,4,3,
1435,1,5,4,4,3,
1474,1,5,4,4,2,
1485,3,5,4,4,2,
1577,1,3,4,4,2,
1587,1,3,4,4,3,
1594,1,3,4,4,2,
1603,1,3,4,3,1,
1625,1,4,4,3,2,
1632,1,4,3,3,2,
1653,4,4,3,3,2,
1658,2,4,3,3,2,
1687,3,4,3,3,2,
1720,4,4,3,3,2,
1770,1,2,3,3,2,
1793,4,2,3,3,4,
1798,1,2,3,3,4,
1833,1,3,3,3,4,
1842,1,3,3,3,3,
