frame,8,9,7,10,6
2,2,0,4,0,0,
98,3,5,4,0,0,
134,2,5,4,0,5,
146,2,4,4,0,5,
158,5,4,3,0,5,
190,2,4,3,0,1,
210,1,4,3,5,5,
218,5,4,3,5,1,
246,1,4,3,5,2,
278,2,4,3,1,1,
286,3,4,3,1,1,
298,1,4,3,1,1,
322,1,4,3,1,5,
330,1,4,3,1,5,
414,1,4,3,3,5,
530,1,4,3,3,4,
582,5,4,3,3,1,
602,5,2,3,3,1,
718,5,2,3,3,3,
742,1,2,3,3,3,
778,5,2,3,3,3,
786,3,5,3,3,3,
822,5,5,3,3,5,
834,5,3,3,3,5,
842,2,3,3,3,3,
862,5,1,2,3,3,
874,2,5,2,3,3,
910,4,5,2,3,5,
922,4,2,2,3,5,
934,4,2,2,3,4,
942,2,2,2,3,1,
1010,4,2,2,3,1,
1018,4,2,2,3,4,
1102,4,2,2,2,4,
1110,4,2,2,2,4,
1126,2,2,2,2,4,
1158,2,4,2,2,2,
1202,5,4,2,2,2,
1214,5,4,5,2,2,
1226,5,4,5,5,2,
1270,5,4,5,5,5,
1310,4,4,5,5,5,
1334,5,4,5,5,5,
1398,5,5,5,5,3,
1410,3,5,5,5,3,
1458,5,5,5,5,3,
1546,4,5,5,5,3,
1750,4,2,4,5,3,
