frame,13,12,14
2,6,5,4,
14,6,5,4,
82,5,5,4,
118,3,3,4,
126,3,2,4,
146,2,3,4,
162,2,3,4,
238,2,3,1,
266,2,6,1,
322,6,6,1,
358,1,6,1,
402,1,6,5,
570,4,6,5,
714,6,6,5,
742,3,6,5,
750,3,1,5,
1062,5,1,5,
1134,5,1,6,
1142,3,1,6,
1158,3,4,6,
1202,5,4,6,
1378,6,4,6,
1430,5,4,6,
1450,5,4,3,
1470,5,1,3,
1478,1,1,3,
1650,1,4,3,
1770,1,5,3,
1814,1,5,4,
2018,1,5,3,
2034,1,5,3,
2042,1,5,4,
2122,4,5,4,
2166,5,5,4,
2230,4,5,4,
2238,4,5,3,
2310,3,5,3,
2426,1,5,3,
2482,5,5,3,
2494,5,4,3,
2514,5,4,4,
2706,5,1,4,
2922,5,1,5,
3150,5,3,5,
3538,5,4,5,
3554,1,4,5,
3574,1,4,3,
3670,1,4,2,
3678,3,4,2,
3726,4,4,2,
3762,2,4,2,
3794,2,3,2,
3814,4,3,2,
3906,4,5,2,
3994,4,5,4,
4018,1,5,4,
4046,4,5,4,
4130,3,5,4,
4170,3,3,4,
4362,3,4,4,
4422,3,4,5,
4486,4,4,5,
4654,4,4,3,
4850,5,4,3,
5110,4,4,3,
5130,4,3,3,
5322,4,5,3,
5354,4,5,4,
6054,4,3,4,
6906,4,4,4,
