frame,7,6,8,9
2,3,1,5,4,
110,3,1,2,4,
186,3,3,2,4,
250,3,3,2,1,
258,3,3,4,1,
302,2,3,4,1,
366,2,3,4,3,
438,2,3,1,3,
462,4,3,1,3,
498,4,2,1,3,
550,4,2,1,5,
582,4,2,4,5,
590,4,2,3,5,
642,1,2,3,5,
682,1,4,3,5,
714,1,4,3,2,
750,1,4,1,2,
762,2,4,1,2,
778,3,4,5,2,
842,3,1,5,2,
902,3,1,5,4,
930,3,1,2,4,
982,5,1,2,4,
1014,5,3,2,4,
1090,5,3,2,1,
1122,5,3,4,1,
1170,2,3,4,1,
1214,2,5,4,1,
1246,2,5,4,3,
1294,2,5,2,3,
1302,2,5,1,3,
1334,4,5,1,3,
1370,4,2,1,3,
1422,4,2,1,5,
1446,4,2,3,5,
1502,1,2,3,5,
1570,1,4,3,5,
1614,1,4,3,2,
