frame,13,12,14
2,6,5,4,
15,6,5,4,
80,5,5,4,
90,3,5,4,
120,3,3,4,
125,3,2,4,
130,2,2,4,
165,2,3,4,
250,2,3,1,
405,2,3,5,
655,4,3,5,
745,3,3,5,
755,3,1,5,
1065,5,1,5,
1100,1,1,5,
1145,3,1,5,
1160,3,4,5,
1215,4,4,5,
1225,5,4,5,
1430,5,4,3,
1470,5,1,3,
1495,1,1,3,
1650,1,4,3,
1775,1,5,3,
1815,1,5,4,
2040,1,1,4,
2050,1,5,4,
2170,5,5,4,
2230,4,5,4,
2265,4,5,3,
2325,3,5,3,
2425,1,5,3,
2485,5,5,3,
2515,5,5,4,
2655,5,4,4,
2715,5,1,4,
2930,5,1,5,
3200,5,5,5,
3245,5,5,1,
3575,5,5,5,
3690,5,5,2,
3750,2,5,2,
3775,2,2,2,
3810,2,3,2,
4100,2,5,2,
4135,3,5,2,
4170,3,3,2,
4425,3,3,5,
4475,5,3,5,
4655,5,3,3,
5325,5,5,3,
5600,3,5,3,
6055,3,3,3,
