frame,8,9,7,10,6
2,2,0,4,0,0,
68,5,5,4,0,0,
92,2,3,4,0,0,
98,3,3,4,0,3,
114,2,3,4,0,3,
132,2,3,4,0,5,
138,5,3,4,0,5,
150,1,4,3,0,5,
182,2,4,3,0,1,
194,1,4,3,0,5,
202,1,4,3,5,1,
218,5,4,3,5,5,
230,1,4,3,5,5,
242,2,4,3,5,5,
258,2,4,3,1,2,
266,1,4,3,1,2,
286,5,4,3,1,1,
294,1,4,3,1,1,
302,5,4,3,1,5,
316,5,4,3,3,5,
332,5,4,3,1,5,
342,1,4,3,1,5,
420,1,4,3,3,5,
546,1,4,3,3,4,
582,1,4,3,3,1,
616,1,4,3,3,4,
640,1,4,3,3,1,
706,1,3,3,3,1,
720,1,3,3,3,3,
726,3,3,3,3,3,
734,1,3,3,3,3,
742,1,3,3,3,1,
760,3,3,3,3,3,
770,1,3,3,3,3,
784,3,3,3,3,3,
818,1,3,3,3,3,
836,3,3,3,3,3,
844,4,3,3,3,3,
858,4,1,3,3,3,
866,1,1,3,3,3,
876,4,1,3,3,3,
894,1,1,3,3,3,
904,4,1,3,3,3,
924,4,1,3,3,5,
930,4,2,1,3,5,
938,5,2,1,3,5,
944,2,2,1,3,5,
978,5,2,1,3,5,
986,5,2,1,4,4,
994,1,2,1,4,4,
1004,4,2,1,4,4,
1012,4,2,1,4,4,
1018,4,2,1,4,4,
1028,1,2,1,4,4,
1034,1,2,1,5,4,
1040,3,2,1,5,4,
1046,1,2,1,1,4,
1054,4,2,1,5,1,
1062,2,2,1,5,4,
1068,4,2,1,5,4,
1074,3,2,1,5,4,
1084,1,2,1,5,4,
1098,4,2,1,5,4,
1104,1,2,1,5,2,
1116,4,4,1,5,2,
1122,1,4,1,5,2,
1128,2,5,1,5,2,
1134,2,4,1,5,2,
1158,2,1,1,5,2,
1166,2,1,1,5,2,
1172,2,4,1,5,2,
1178,2,4,1,5,2,
1184,2,4,1,5,2,
1190,2,4,5,5,2,
1196,3,1,5,5,2,
1202,4,4,5,5,2,
1210,5,1,5,5,2,
1216,2,1,5,5,2,
1222,1,1,5,5,5,
1228,2,1,5,5,5,
1234,4,3,5,5,5,
1240,5,1,5,5,4,
1248,5,1,5,5,4,
1270,5,1,5,5,4,
1278,3,1,5,5,4,
1316,4,1,5,5,2,
1324,2,1,5,5,2,
1330,2,1,5,3,3,
1350,3,1,5,3,2,
1360,5,4,5,3,2,
1366,2,4,5,3,3,
1378,5,4,5,3,3,
1394,3,5,5,3,2,
1410,1,5,5,3,3,
1418,2,5,5,3,3,
1474,2,5,5,3,3,
1484,1,5,5,3,3,
1532,1,5,4,3,3,
1542,4,5,4,3,3,
1560,1,5,4,3,5,
1594,1,5,4,3,3,
1600,2,5,4,3,1,
1606,2,5,4,3,3,
1612,2,5,4,3,1,
1620,1,5,4,3,5,
1626,1,4,4,3,5,
1636,1,4,4,3,2,
1644,2,4,4,3,1,
1658,4,4,4,3,1,
1686,3,4,3,3,1,
1722,4,4,3,3,4,
1730,4,2,3,3,4,
1744,4,2,3,5,4,
1756,4,2,3,5,2,
1772,1,2,3,5,1,
1788,1,2,3,5,4,
1834,1,3,3,5,4,
1850,5,3,3,5,4,
