frame,13,12,14
2,6,5,4,
12,6,5,4,
64,3,5,4,
114,3,3,4,
124,3,2,4,
142,3,3,4,
150,3,2,4,
160,3,3,4,
186,3,3,1,
256,3,6,1,
344,1,6,1,
392,1,6,5,
566,4,6,5,
728,3,6,5,
744,3,1,5,
1060,5,1,5,
1082,5,1,6,
1128,3,1,6,
1144,3,4,6,
1192,5,4,6,
1420,5,4,3,
1468,1,4,3,
1474,1,1,3,
1648,1,4,3,
1760,1,5,3,
1810,1,5,4,
2034,1,5,3,
2040,1,5,4,
2132,4,5,4,
2238,4,5,3,
2248,1,5,3,
2256,5,5,3,
2432,1,5,3,
2492,1,4,3,
2500,1,4,4,
2674,1,1,4,
2730,1,1,5,
2930,1,4,5,
3136,1,4,1,
3144,1,3,1,
3152,5,3,1,
3324,4,3,1,
3514,1,3,1,
3538,1,4,1,
3560,1,4,3,
3670,1,5,2,
3680,4,5,2,
3776,4,2,2,
3900,4,5,2,
3964,4,5,4,
4128,3,5,4,
4160,3,2,4,
4396,3,2,5,
4460,4,2,5,
4590,4,4,5,
4646,4,4,3,
4658,2,4,3,
4746,2,4,3,
4782,2,2,3,
4854,5,2,3,
4948,5,4,3,
5102,2,4,3,
5128,2,3,3,
5142,4,3,3,
5156,4,3,2,
5220,4,4,2,
5230,2,4,2,
5312,4,5,2,
5346,4,5,4,
5822,4,2,4,
6088,4,5,4,
6196,4,4,4,
6208,4,2,4,
6318,4,2,5,
6584,4,4,5,
6672,2,4,5,
6868,2,5,5,
6942,2,5,4,
7182,2,2,4,
