frame,7,6,8,9
2,3,1,5,4,
102,3,1,2,4,
128,5,1,2,4,
180,5,3,2,4,
238,5,3,2,1,
254,5,3,4,1,
284,2,3,4,1,
366,2,3,4,3,
424,2,3,1,3,
456,4,3,1,3,
474,4,5,1,3,
490,4,2,1,3,
544,4,2,1,5,
574,4,2,3,5,
628,1,2,3,5,
662,1,4,3,5,
698,1,4,3,2,
760,1,4,5,2,
780,3,4,5,2,
832,3,1,5,2,
898,3,1,5,4,
924,3,1,2,4,
978,5,1,2,4,
1010,5,3,2,4,
1068,5,3,2,1,
1104,5,3,4,1,
1164,2,3,4,1,
1216,2,5,4,1,
1238,2,5,4,3,
1290,2,5,1,3,
1316,4,5,1,3,
1348,4,2,1,3,
1418,4,2,1,5,
1440,4,2,3,5,
1486,1,2,3,5,
1556,1,4,3,5,
1598,1,4,3,2,
1658,1,4,5,2,
1802,1,4,3,2,
